,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
3,LA :  It was a ghastly aberration,CL : Or was it in fact typical?,It was a ghastly aberration,it was in fact typical,CA,nodeset1524,28819,28822,28826,True,LA,CL,CL
9,CL : Or was it in fact typical?,CL : Was it the product of a policy that was unsustainable that could only be pursued by increasing repression?,it was in fact typical,it was the product of a policy that was unsustainable that could only be pursued by increasing repression,RA,nodeset1524,28822,28828,28832,True,CL,CL,CL
12,MB : Why should the present government of Britain be held responsible for responsibility for the these atrocities of its predecessor administration many decades ago?,MB :  Isn't the problem though that there are not very specific perpetrators?,the present government of Britain should be held responsible for responsibility for the these atrocities of its predecessor administration many decades ago,there are not very specific perpetrators,RA,nodeset6057,25658,25655,111637,False,MB,MB,MB
13,ES : why the current government of today should be held liable,ES : Obviously we cannot for legal reasons go into sort of identifying individuals,the current government of today should be held liable,we cannot for legal reasons go into sort of identifying individuals,Default Inference,nodeset6057,25670,25963,111643,False,ES,ES,ES
14,ES : why the current government of today should be held liable,ES :  is because there is an outstanding crime that has been committed,the current government of today should be held liable,there is an outstanding crime that has been committed,RA,nodeset6057,25670,25673,111646,True,ES,ES,ES
15,ES : why the current government of today should be held liable,ES : My understanding of international law is that there is no statute of limitations,the current government of today should be held liable,there is no statute of limitations,RA,nodeset6057,25670,25691,111657,False,ES,ES,ES
16,ES : why the current government of today should be held liable,"ES : these were not only, you know, crimes of torture",the current government of today should be held liable,these were not only crimes of torture,RA,nodeset6057,25670,25964,111646,True,ES,ES,ES
17,ES : why the current government of today should be held liable,"ES : there were war crimes committed,",the current government of today should be held liable,"there were war crimes committed,",RA,nodeset6057,25670,25680,111646,True,ES,ES,ES
18,ES : why the current government of today should be held liable,ES : there were crimes against humanity,the current government of today should be held liable,there were crimes against humanity,Default Inference,nodeset6057,25670,25681,111661,False,ES,ES,ES
19,ES : I think it would be totally different if the survivors had all died,ES : My understanding of international law is that there is no statute of limitations,it would be totally different if the survivors had all died,there is no statute of limitations,Default Inference,nodeset6057,25694,25691,111663,True,ES,ES,ES
20,ES : I think it would be totally different if the survivors had all died,"ES : But actually, you have living victims.",it would be totally different if the survivors had all died,you have living victims.,Default Inference,nodeset6057,25694,25697,111663,True,ES,ES,ES
21,LA : I don't know what - could you tell me what you think colonialism is?,"MT : Well, I guess for my definition, I would talk about rich countries in the West occupying countries of other people and imposing their rule on them and generally speaking extracting various forms of wealth from those countries to benefit the host country",colonialism is xxx,rich countries in the West occupying countries of other people and imposing their rule on them and generally speaking extracting various forms of wealth from those countries to benefit the host country,MA,nodeset6058,111666,26280,111670,False,LA,MT,MT
22,AM : Is it not the case that you are stretching your definition in order to make the British Empire fit into that?,ES : They did see this as being like under the Third Reich in effect.,you are stretching your definition in order to make the British Empire fit into that?,They did see this as being like under the Third Reich in effect.,RA,nodeset6059,25884,25889,111683,False,AM,ES,ES
26,"MB : Lee Jasper, is it your position that the current British Government has a lot more to apologise for in terms of colonialism than the ill-treatment of some now elderly Kenyans?",JA : It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.,it is / is not Lee's position that the current British Government has a lot more to apologize for in terms of colonialism than the ill-treatment of some now elderly Kenyans,It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.,RA,nodeset6060,111690,28602,111695,True,MB,JA,JA
35,JA : and we ought to do the right thing,"JA :  as we all know, the moral case is absolutely unanswerable",and we ought to do the right thing,"as we all know, the moral case is absolutely unanswerable",RA,nodeset6060,28618,28615,111703,True,JA,JA,JA
41,JA : It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.,"JA : I think the relics of colonialism, racism and the current dystopia around in relation to people groping focus a kind of inclusive British citizenship that relieves them of the guilt of their - of the past, and opens up a vista of an inclusive future, actually relies on, to some extent, Britain having a truth and reconciliation moment,",It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.,"I think the relics of colonialism, racism and the current dystopia around in relation to people groping focus a kind of inclusive British citizenship that relieves them of the guilt of their - of the past, and opens up a vista of an inclusive future, actually relies on, to some extent, Britain having a truth and reconciliation moment,",RA,nodeset6060,28602,28609,111705,True,JA,JA,JA
47,JA : It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.,"JA : and saying, regardless of what the specificities of legalities are, and they can produce some pretty perverse judgments",It goes to the route of the modern malaise of a non-inclusive notion of British citizenship.,"and saying, regardless of what the specificities of legalities are, and they can produce some pretty perverse judgments",RA,nodeset6060,28602,28612,111705,True,JA,JA,JA
51,"MB : Lee Jasper, is it your position that the current British Government has a lot more to apologise for in terms of colonialism than the ill-treatment of some now elderly Kenyans?","JA :  as we all know, the moral case is absolutely unanswerable",it is / is not Lee's position that the current British Government has a lot more to apologize for in terms of colonialism than the ill-treatment of some now elderly Kenyans,"as we all know, the moral case is absolutely unanswerable",RA,nodeset6060,111690,28615,111709,True,MB,JA,JA
57,JA : I don't agree black people can be racist in the United Kingdom context.,JA : They can be racially offensive,black people can't be racist in the United Kingdom context,They can be racially offensive,RA,nodeset6061,111722,28704,111726,False,JA,JA,JA
