,Text,illocution,id_illocution,nodeset_id,CA,RA,CA_premise,RA_premise,CA_conclusion,RA_conclusion,speaker,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words,final output,final input,RA final input,RA final output,CA final input,CA final output
0,NL : I don't think we do,we do not have got a lot to apologize for,111969,nodeset6069,0,1,0,1,0,0,NL,"['nl', 'I', 'don', 't', 'think', 'we', 'do']",7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,ES : Definitely not,that isn't a source of injustice,27848,nodeset6095,0,1,0,1,1,0,ES,"['es', 'definitely', 'not']",3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,LA : I don't think so,LA does not think this particular court case might provide this Mdeba moment,28978,nodeset6099,0,1,0,1,0,0,LA,"['la', 'I', 'don', 't', 'think', 'so']",6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,LA : did the British state know what they were doing? I think it did,the British state knew what they were doing ,111885,nodeset6065,0,1,0,0,0,1,LA,"['la', 'do', 'the', 'british', 'state', 'know', 'what', 'they', 'be', 'do', 'I', 'think', 'it', 'do']",14,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
4,Anne : You said it's quite specific and you think of it as one specific legal trial with evidence that can be weighed and damages which may then be awarded,Esther : it's quite specific and I think of it as one specific legal trial with evidence that can be weighed and damages which may then be awarded,112169,nodeset6073,0,1,0,0,0,1,Anne,"['anne', 'you', 'say', 'it', 's', 'quite', 'specific', 'and', 'you', 'think', 'of', 'it', 'as', 'one', 'specific', 'legal', 'trial', 'with', 'evidence', 'that', 'can', 'be', 'weigh', 'and', 'damage', 'which', 'may', 'then', 'be', 'award']",30,,damage,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
5,Anne :you've also said that it's more broadly about colonialism,Esther : it's more broadly about colonialism,38178,nodeset6073,0,1,0,0,0,1,Anne,"['anne', 'you', 've', 'also', 'say', 'that', 'it', 's', 'more', 'broadly', 'about', 'colonialism']",12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
6,Melanie : you are in fact saying that the context is colonialism,Esther : the context is colonialism,112231,nodeset6075,0,1,0,0,0,1,Melanie,"['melanie', 'you', 'be', 'in', 'fact', 'say', 'that', 'the', 'context', 'be', 'colonialism']",11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
7,LA : I don't think so,JA does not think this particular court case might provide this Mdeba moment,28978,nodeset6099,0,1,0,1,0,0,LA,"['la', 'I', 'don', 't', 'think', 'so']",6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,"JA : Acknowledgment, in a Christian sense","JA : Acknowledgment, in a Christian sense",28953,nodeset6099,0,1,0,0,0,1,JA,"['ja', 'acknowledgment', 'in', 'a', 'christian', 'sense']",6,,,,,,,,,christian,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
9,MT :  Neil Ferguson is saying it is great today,NF : it is great today,29969,nodeset6101,1,0,0,0,1,0,MT,"['mt', 'neil', 'ferguson', 'be', 'say', 'it', 'be', 'great', 'today']",9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
10,"MB : when you're talk - the last witness talked about, well, the 17th century was a completely different universe",last witness : the 17th century was a completely different universe,29765,nodeset6102,0,1,0,0,0,1,MB,"['mb', 'when', 'you', 're', 'talk', 'the', 'last', 'witness', 'talk', 'about', 'well', 'the', '17th', 'century', 'be', 'a', 'completely', 'different', 'universe']",19,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
11,"MB : Clifford also had a powerful point in cross-examination when he was saying, actually, in this particular case, what are crimes now were very much crimes then","CL : in this particular case, what are crimes now were very much crimes then",112869,nodeset6102,0,1,0,0,0,1,MB,"['mb', 'clifford', 'also', 'have', 'a', 'powerful', 'point', 'in', 'cross', 'examination', 'when', 'he', 'be', 'say', 'actually', 'in', 'this', 'particular', 'case', 'what', 'be', 'crime', 'now', 'be', 'very', 'much', 'crime', 'then']",28,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
12,"AM : that colonialism, as we keep calling it, is in some way all about the extraction of wealth and exploitation",MT : colonialism is in some way all about the extraction of wealth and exploitation,112898,nodeset6102,0,1,0,0,0,1,AM,"['be', 'that', 'colonialism', 'as', 'we', 'keep', 'call', 'it', 'be', 'in', 'some', 'way', 'all', 'about', 'the', 'extraction', 'of', 'wealth', 'and', 'exploitation']",20,,exploitation,,exploitation,,,,,,,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
13,"MT : He wants to say, well, there was good and bad",LJ : there was good and bad,29680,nodeset6103,0,1,0,0,0,1,MT,"['mt', 'he', 'want', 'to', 'say', 'well', 'there', 'be', 'good', 'and', 'bad']",11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
14,"MT : there has been a revisionist itself to say, let's rebalance this, actually the Empire wasn't so bad",A revisionist :  actually the Empire wasn't so bad,113246,nodeset6120,0,1,0,0,0,1,MT,"['mt', 'there', 'have', 'be', 'a', 'revisionist', 'itself', 'to', 'say', 'let', 's', 'rebalance', 'this', 'actually', 'the', 'empire', 'wasn', 't', 'so', 'bad']",20,,,,,,,empire,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
