,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
0,Michael Buerk : Technically too has changed the way we see war,Michael Buerk : distancing us by making aerial bombardment look like a computer game,Technically too has changed the way we see war,distancing us by making aerial bombardment look like a computer game,Default Inference,nodeset15908,431046,431051,431058,False,Michael Buerk,Michael Buerk,Michael Buerk
1,Michael Buerk : Technically too has changed the way we see war,"Michael Buerk : reported in real time by 24 hour news and social media, we can be deluged with conflicts consequences",Technically too has changed the way we see war,"reported in real time by 24 hour news and social media, we can be deluged with conflicts consequences",Default Inference,nodeset15908,431046,431056,431059,False,Michael Buerk,Michael Buerk,Michael Buerk
2,"Michael Portillo : if the cause of the war is just, then modern warfare, because of its accuracy, is possibly more morally defensible than conflicts of the past",Michael Portillo : its accuracy,"if the cause of the war is just, then modern warfare is possibly more morally defensible than conflicts of the past",modern warfare's accuracy,Default Inference,nodeset15909,431094,431099,431102,False,Michael Portillo,Michael Portillo,Michael Portillo
3,Giles Fraser : Well I don’t know that we have the moral fibre that we had 75 years ago,"Giles Fraser : so much has changed, our attitude to thinks, like, duty, self-sacrifice, the common good, we’re a divided society, we don’t have the respect for authority, we don’t like words like patriotism, we’re an individualistic society",Well Giles Fraser doesn't know that we have the moral fibre that we had 75 years ago,"so much has changed, our attitude to thinks, like, duty, self-sacrifice, the common good, we’re a divided society, we don’t have the respect for authority, we don’t like words like patriotism, we’re an individualistic society",Default Inference,nodeset15909,431106,431110,431113,False,Giles Fraser,Giles Fraser,Giles Fraser
4,Giles Fraser : there’s a good argument to say that we just don’t have the stomach for that sort of thing anymore,"Giles Fraser : so much has changed, our attitude to thinks, like, duty, self-sacrifice, the common good, we’re a divided society, we don’t have the respect for authority, we don’t like words like patriotism, we’re an individualistic society",there’s a good argument to say that we just don’t have the stomach for that sort of thing anymore,"so much has changed, our attitude to thinks, like, duty, self-sacrifice, the common good, we’re a divided society, we don’t have the respect for authority, we don’t like words like patriotism, we’re an individualistic society",Default Inference,nodeset15909,431117,431110,431120,False,Giles Fraser,Giles Fraser,Giles Fraser
5,"Anne McElvoy :  I’m interested in the way that it hasn’t really affected, fundamentally, the defence settlement","Anne McElvoy : Young men and women still go to war, both in defence of their own country and often in defence of values","Anne McElvoy is interested in the way that societal changes haven’t really affected, fundamentally, the defence settlement","Young men and women still go to war, both in defence of their own country and often in defence of values",Default Inference,nodeset15909,431129,431134,431137,False,Anne McElvoy,Anne McElvoy,Anne McElvoy
6,Anne McElvoy : I would question really whether we are quite as ready to leave behind that sense of duty as perhaps the question supposes,"Anne McElvoy :  I’m interested in the way that it hasn’t really affected, fundamentally, the defence settlement",Anne McElvoy would question really whether we are quite as ready to leave behind that sense of duty as perhaps the question supposes,"Anne McElvoy is interested in the way that societal changes haven’t really affected, fundamentally, the defence settlement",Default Inference,nodeset15909,431141,431129,431143,False,Anne McElvoy,Anne McElvoy,Anne McElvoy
7,"Mathew Taylor : the social and cultural landscape, through which we chart our moral path, has changed dramatically","Mathew Taylor : communities, norms, hierarchies are weaker, freedoms, rights, choices are stronger","the social and cultural landscape, through which we chart our moral path, has changed dramatically","communities, norms, hierarchies are weaker, freedoms, rights, choices are stronger",Default Inference,nodeset15909,431148,431152,431155,False,Mathew Taylor,Mathew Taylor,Mathew Taylor
8,"Mathew Taylor : I don’t think it’s impossible to generate moral purpose and cohesion in the modern world, but we need to recognise it’s a very different task to the one that faced our grandparents generation","Mathew Taylor : the social and cultural landscape, through which we chart our moral path, has changed dramatically","Mathew Taylor doesn't think it’s impossible to generate moral purpose and cohesion in the modern world, but we need to recognise it’s a very different task to the one that faced our grandparents generation","the social and cultural landscape, through which we chart our moral path, has changed dramatically",Default Inference,nodeset15909,431159,431148,431161,False,Mathew Taylor,Mathew Taylor,Mathew Taylor
9,"Michael Buerk : Professor O’Hear, we’re celebrating what we see as the virtues that made D-Day possible, do we still have them, do you think","Anthony O’Hear : Well I want to begin by giving two quotations from Edmund Burke, which I think are very relevant",Professor O’Hear does/does not think we still have the virtues that made D-Day possible,"Well Anthony O’Hear wants to begin by giving two quotations from Edmund Burke, which are very relevant",Default Rephrase,nodeset15910,431170,431180,431183,False,Michael Buerk,Anthony O’Hear,Anthony O’Hear
10,Anthony O’Hear : those feelings were very prominent,"Anthony O’Hear : they were very prominent in the 1939, 1940, in that era",those feelings about society were very prominent,"those feelings about society were very prominent in the 1939, 1940, in that era",Default Rephrase,nodeset15910,431210,431220,431223,False,Anthony O’Hear,Anthony O’Hear,Anthony O’Hear
11,Michael Portillo : You’ll recall the Oxford Union debate of February 1933,"Anthony O’Hear : Well, not personally",Anthony O’Hear will recall the Oxford Union debate of February 1933,"Well, Anthony O’Hear does not personally recall the Oxford Union debate of February 1933",Default Conflict,nodeset15910,431237,431242,431245,False,Michael Portillo,Anthony O’Hear,Anthony O’Hear
12,"Anthony O’Hear : that was very interesting and, of course, this debate was in the Oxford Union and it didn’t reflect the feelings of the majority of people in the country","Anthony O’Hear : about the same time, Keynes wrote an interesting memoir called My Early Beliefs, in which he speaks of the moral attitudes of his set, the Bloomsbury Set","the Oxford Union debate of February 1933 was very interesting and, of course, this debate was in the Oxford Union and it didn’t reflect the feelings of the majority of people in the country","about the same time as the Oxford Union debate of February 1933, Keynes wrote an interesting memoir called My Early Beliefs, in which he speaks of the moral attitudes of his set, the Bloomsbury Set",Default Inference,nodeset15910,431258,431263,431280,True,Anthony O’Hear,Anthony O’Hear,Anthony O’Hear
13,Edmund Burke : a society is fitted for civil liberty in exact proportion to its disposition to put moral chains on their own appetites,"Michael Portillo : Let me pick up your second quote, which was about putting chains on our appetites",a society is fitted for civil liberty in exact proportion to its disposition to put moral chains on their own appetites,"Let Michael Portello pick up Anthony O’Hear's second quote, which was about putting chains on our appetites",Default Rephrase,nodeset15910,431201,431293,431296,False,Edmund Burke,Michael Portillo,Michael Portillo
14,"Michael Portillo : Is it not possible, precisely because people are hedonistic and individualistic today, to imagine that they would indeed be willing to fight to a threat against their way of life",Michael Portillo : people are hedonistic and individualistic today,It is possible to imagine that people today would indeed be willing to fight to a threat against their way of life,people are hedonistic and individualistic today,Default Inference,nodeset15910,431302,431307,431310,False,Michael Portillo,Michael Portillo,Michael Portillo
15,"Michael Portillo : the threats that we can think about, from islamists, from Russians or from Chinese are precisely against their hedonism, precisely against their individualism, so why wouldn’t people be prepared to resist","Michael Portillo : Is it not possible, precisely because people are hedonistic and individualistic today, to imagine that they would indeed be willing to fight to a threat against their way of life","the threats that we can think about, from islamists, from Russians or from Chinese are precisely against their hedonism, precisely against their individualism, so people would be prepared to resist",It is possible to imagine that people today would indeed be willing to fight to a threat against their way of life,Default Inference,nodeset15910,431314,431302,431316,False,Michael Portillo,Michael Portillo,Michael Portillo
16,"Michael Portillo : the threats that we can think about, from islamists, from Russians or from Chinese are precisely against their hedonism, precisely against their individualism, so why wouldn’t people be prepared to resist","Anthony O’Hear : they might, and indeed I hope they would be, but I’m not confident","the threats that we can think about, from islamists, from Russians or from Chinese are precisely against their hedonism, precisely against their individualism, so people would be prepared to resist","people today might be prepared to resist, and indeed Antony O’Hear hopes they would be, but he's not confident",Default Conflict,nodeset15910,431314,431321,431324,False,Michael Portillo,Anthony O’Hear,Anthony O’Hear
17,"Anthony O’Hear : they might, and indeed I hope they would be, but I’m not confident","Anthony O’Hear : this stress on individual states of mind, appetite, satisfaction of appetite, you used the word hedonism, I didn’t, these are not attitudes which foster the virtues of courage, loyalty and physical and moral strength and, also, a belief in what one is fighting for","people today might be prepared to resist, and indeed Antony O’Hear hopes they would be, but he's not confident","this stress on individual states of mind, appetite, satisfaction of appetite, Michael Portillo used the word hedonism, Antony O’Hear didn’t, these are not attitudes which foster the virtues of courage, loyalty and physical and moral strength and, also, a belief in what one is fighting for",Default Inference,nodeset15910,431321,431328,431331,False,Anthony O’Hear,Anthony O’Hear,Anthony O’Hear
