,Text,illocution,id_illocution,nodeset_id,CA,RA,CA_premise,RA_premise,CA_conclusion,RA_conclusion,speaker,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words,final output,final input,RA final input,RA final output,CA final input,CA final output
0,"Michael Buerk : Good evening, exactly 75 years ago tonight, hundreds of thousands of allied soldiers, sailors and airmen were getting ready to fling themselves onto the beaches of Normandy","Good evening, exactly 75 years ago tonight, hundreds of thousands of allied soldiers, sailors and airmen were getting ready to fling themselves onto the beaches of Normandy",431002,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'good', 'evening', 'exactly', 'year', 'ago', 'tonight', 'hundred', 'of', 'thousand', 'of', 'ally', 'soldier', 'sailor', 'and', 'airman', 'be', 'get', 'ready', 'to', 'fle', 'themselves', 'onto', 'the', 'beach', 'of', 'normandy']",28,,,,,ally,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,"Michael Buerk : It was the largest seaborne invasion in history, arguably the ally’s biggest gamble of the war","The Normandy landings was the largest seaborne invasion in history, arguably the ally’s biggest gamble of the war",431006,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'it', 'be', 'the', 'large', 'seaborne', 'invasion', 'in', 'history', 'arguably', 'the', 'ally', '’', 's', 'big', 'gamble', 'of', 'the', 'war']",20,,,,,"ally,war",,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,"Michael Buerk : Thousands died on those beaches, a lot didn’t even make it ashore","Thousands died on the beaches of Normandy, a lot didn’t even make it ashore",431011,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'thousand', 'die', 'on', 'those', 'beach', 'a', 'lot', 'do', 'not', 'even', 'make', 'it', 'ashore']",15,,die,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Michael Buerk : Many more died in the desperate fighting through the Normandy Bocage,Many more died in the desperate fighting through the Normandy Bocage,431016,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'many', 'more', 'die', 'in', 'the', 'desperate', 'fighting', 'through', 'the', 'normandy', 'bocage']",13,,"die,fighting",,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Michael Buerk : Their remains lie in ordered rows in cemeteries all over Northern France, peacefully under pine trees, such a counterpoint to the violence and carnage that killed them","Their remains lie in ordered rows in cemeteries all over Northern France, peacefully under pine trees, such a counterpoint to the violence and carnage that killed them",431021,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'their', 'remain', 'lie', 'in', 'order', 'row', 'in', 'cemetery', 'all', 'over', 'northern', 'france', 'peacefully', 'under', 'pine', 'tree', 'such', 'a', 'counterpoint', 'to', 'the', 'violence', 'and', 'carnage', 'that', 'kill', 'they']",29,,"violence,carnage,kill",,,,,order,,,,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Michael Buerk : Three generations have passed since then without a major war and much has changed,Three generations have passed since then without a major war and much has changed,431026,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'three', 'generation', 'have', 'pass', 'since', 'then', 'without', 'a', 'major', 'war', 'and', 'much', 'have', 'change']",16,,,,,war,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,"Michael Buerk : It’s not just that we wonder if we still had the virtues we’re celebrating this week, duty, self-sacrifice, patriotism, national cohesion, respect for our leaders, many questions whether these are virtues at all","It’s not just that we wonder if we still had the virtues we’re celebrating this week, duty, self-sacrifice, patriotism, national cohesion, respect for our leaders, many questions whether these are virtues at all",431031,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'it', '’', 'not', 'just', 'that', 'we', 'wonder', 'if', 'we', 'still', 'have', 'the', 'virtue', 'we', '’', 're', 'celebrate', 'this', 'week', 'duty', 'self', 'sacrifice', 'patriotism', 'national', 'cohesion', 'respect', 'for', 'our', 'leader', 'many', 'question', 'whether', 'these', 'be', 'virtue', 'at', 'all']",39,,,,,sacrifice,,"duty,respect,leader",,,,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7,Michael Buerk : not many conflicts have ever been as morally unambiguous as the one we waged against Nazi tyranny,not many conflicts have ever been as morally unambiguous as the one we waged against Nazi tyranny,431036,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'not', 'many', 'conflict', 'have', 'ever', 'be', 'as', 'morally', 'unambiguous', 'as', 'the', 'one', 'we', 'wage', 'against', 'nazi', 'tyranny']",19,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,"Michael Buerk : today’s wars are as likely as not to be, as the jargon has it, asymmetric against terrorist religious fanatics, rogue movements, not the commissioned uniformed regular forces of equivalent sovereign states","today’s wars are as likely as not to be, as the jargon has it, asymmetric against terrorist religious fanatics, rogue movements, not the commissioned uniformed regular forces of equivalent sovereign states",431041,nodeset15908,0,0,0,0,0,0,Michael,"['michael', 'buerk', 'today', '’', 's', 'war', 'be', 'as', 'likely', 'as', 'not', 'to', 'be', 'as', 'the', 'jargon', 'have', 'it', 'asymmetric', 'against', 'terrorist', 'religious', 'fanatic', 'rogue', 'movement', 'not', 'the', 'commission', 'uniformed', 'regular', 'force', 'of', 'equivalent', 'sovereign', 'state']",35,,,,,war,,,,religious,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,Michael Buerk : Technically too has changed the way we see war,Technically too has changed the way we see war,431046,nodeset15908,0,1,0,1,0,0,Michael,"['michael', 'buerk', 'technically', 'too', 'have', 'change', 'the', 'way', 'we', 'see', 'war']",11,,,,,war,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
