,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
0,Michael Buerk : Graeme Logan’s come a long way since he was put in to care shortly after he was born,"Michael Buerk : He was adopted by the owners of a family fish business, renamed Michael Gove, won a scholarship to one of Scotland’s best schools, Oxford, stellar career in the media including a lengthy spell as a panellist here on the Moral Maze",Graeme Logan’s come a long way since he was put in to care shortly after he was born,"Graeme Logan was adopted by the owners of a family fish business, renamed Michael Gove, won a scholarship to one of Scotland’s best schools, Oxford, stellar career in the media including a lengthy spell as a panellist here on the Moral Maze",Default Inference,nodeset15907,430870,430876,430878,False,Michael Buerk,Michael Buerk,Michael Buerk
1,Michael Buerk : Graeme Logan’s come a long way since he was put in to care shortly after he was born,"Michael Buerk : Politics, the cabinet, touching distance of becoming prime minister",Graeme Logan’s come a long way since he was put in to care shortly after he was born,"Politics, the cabinet, touching distance of becoming prime minister",Default Inference,nodeset15907,430870,430883,430885,False,Michael Buerk,Michael Buerk,Michael Buerk
2,Michael Buerk : now it seems it all might end with a sniff,Michael Buerk : The disclosure that he’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,now it seems it all might end with a sniff,The disclosure that Michael Gove’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,Default Inference,nodeset15907,430890,430895,430897,False,Michael Buerk,Michael Buerk,Michael Buerk
3,Michael Buerk : The disclosure that he’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,"Michael Buerk : Those who don’t care think that youthful – ish in his case, he was around 30 – youthful indiscretion should not be held against the mature individual who regrets them",The disclosure that Michael Gove’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,"Those who don’t care think that youthful – ish in Michael Gove's case, he was around 30 – youthful indiscretion should not be held against the mature individual who regrets them",Default Inference,nodeset15907,430895,430902,430905,False,Michael Buerk,Michael Buerk,Michael Buerk
4,"Michael Buerk : Those who don’t care think that youthful – ish in his case, he was around 30 – youthful indiscretion should not be held against the mature individual who regrets them","Michael Buerk : As a Christian as well as an ambitious politician, he believes in redemption","Those who don’t care think that youthful – ish in Michael Gove's case, he was around 30 – youthful indiscretion should not be held against the mature individual who regrets them","As a Christian as well as an ambitious politician, Michael Gove believes in redemption",Default Inference,nodeset15907,430902,430908,430919,False,Michael Buerk,Michael Buerk,Michael Buerk
5,Michael Gove : We’re all sinners in a fallen world,"Michael Buerk : As a Christian as well as an ambitious politician, he believes in redemption",We’re all sinners in a fallen world,"As a Christian as well as an ambitious politician, Michael Gove believes in redemption",Default Inference,nodeset15907,430912,430908,430922,False,Michael Gove,Michael Buerk,Michael Gove
6,Michael Buerk : Those who do so fund a chain of vicious criminality that undermine societies across half the world,"Michael Buerk : Taking cocaine, a Class A drug, was and is illegal",Those who take cocaine fund a chain of vicious criminality that undermine societies across half the world,"Taking cocaine, a Class A drug, was and is illegal",Default Inference,nodeset15907,430938,430934,430940,False,Michael Buerk,Michael Buerk,Michael Buerk
7,Michael Buerk : There are many who say the real sin is hypocrisy,Michael Buerk : This seems to have become more and more the case as we become less certain as a society about what is actually right and wrong,There are many who say the real sin is hypocrisy,This seems to have become more and more the case as we become less certain as a society about what is actually right and wrong,Default Inference,nodeset15907,430944,430947,430950,False,Michael Buerk,Michael Buerk,Michael Buerk
8,Michael Buerk : The disclosure that he’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,Michael Buerk : we’re not all vying to be the country’s leader,The disclosure that Michael Gove’s snorted cocaine – quote – on several occasions – unquote – 20 and more years ago divides opinion,critics reply that we’re not all vying to be the country’s leader,Default Inference,nodeset15907,430895,430929,430990,False,Michael Buerk,Michael Buerk,Michael Buerk
9,Melanie Phillips : Well I take the view that what he did so badly wrong was not the hypocrisy but the drug taking,Melanie Phillips : I take the view that we’re all hypocrites over certain things and hypocrisy is after all the tribute that vice famously pays to virtue,Well Melanie Phillips takes the view that what Michael Gove did so badly wrong was not the hypocrisy but the drug taking,Melanie Phillips takes the view that we’re all hypocrites over certain things and hypocrisy is after all the tribute that vice famously pays to virtue,Default Inference,nodeset15911,431369,431373,431375,False,Melanie Phillips,Melanie Phillips,Melanie Phillips
