,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
0,MB : Why do savers need saving?,"SR : Well, as we just heard, because the system seems to be very, very heavily weighted against them.",savers need saving because xxx,"the system seems to be very, very heavily weighted against them.",Default Rephrase,nodeset6122,113276,26821,113280,False,MB,SR,SR
1,"SR : Well, as we just heard, because the system seems to be very, very heavily weighted against them.","SR : A lot of savers have spent much of their life putting money by, in the hope that they can provide for themselves in their old age.","the system seems to be very, very heavily weighted against them.","A lot of savers have spent much of their life putting money by, in the hope that they can provide for themselves in their old age.",RA,nodeset6122,26821,26822,113285,True,SR,SR,SR
2,"SR : Well, as we just heard, because the system seems to be very, very heavily weighted against them.","SR : And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them","the system seems to be very, very heavily weighted against them.","And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them",RA,nodeset6122,26821,26823,113285,True,SR,SR,SR
3,SR : We reckon something like 100 billion pounds has been transferred from savers to borrowers.,"SR : And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them",We reckon something like 100 billion pounds has been transferred from savers to borrowers.,"And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them",Default Inference,nodeset6122,26824,26823,113296,False,SR,SR,SR
4,"MB : And is this, in your view, purely an economic issue, or do you think there’s a moral dimension to it?",SR : 	Oh no,"this is in SR's view, purely an economic issue / SR thinks there’s a moral dimension to it",this is not purely an economic issue,Default Rephrase,nodeset6122,113289,113298,113303,False,MB,SR,SR
5,SR : 	Oh no,SR :  there’s a massive moral issue as well,this is not purely an economic issue,there’s a massive moral issue as well,Default Inference,nodeset6122,113298,113305,113310,False,SR,SR,SR
6,"SR :  I mean, when did it all change?","SR : It used to be, when I was younger, I'm sure, when my parents and grandparents were around, that saving was the moral thing to do",it all changed when xxx,"It used to be, when SR was younger, when his parents and grandparents were around, that saving was the moral thing to do",Default Rephrase,nodeset6122,113293,113313,113318,True,SR,SR,SR
7,"SR : It used to be, when I was younger, I'm sure, when my parents and grandparents were around, that saving was the moral thing to do",SR : You wanted to provide for yourself,"It used to be, when SR was younger, when his parents and grandparents were around, that saving was the moral thing to do",You wanted to provide for yourself,Default Inference,nodeset6122,113313,113320,113325,False,SR,SR,SR
8,SR : You wanted to provide for yourself,SR : You didn’t want to be a burden on the state,You wanted to provide for yourself,You didn’t want to be a burden on the state,Default Inference,nodeset6122,113320,113327,113332,False,SR,SR,SR
9,"SR :  I mean, when did it all change?","SR : Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",it all changed when xxx,"Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",Default Rephrase,nodeset6122,113293,113334,113318,True,SR,SR,SR
10,"SR : And unfortunately, as a result, savers have lost out","SR : Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",savers have lost out,"Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",Default Inference,nodeset6122,113338,113334,113343,False,SR,SR,SR
11,CF : because actually sometimes taking out credit can also help you not be dependent.,"SR : Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.",sometimes taking out credit can also help you not be dependent.,"the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.",CA,nodeset6124,26860,113365,113368,True,CF,SR,CF
12,CF :  Is that not true?,"SR : Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.",sometimes taking out credit can also help you not be dependent.,"the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.",CA,nodeset6124,26860,113365,113368,True,CF,SR,CF
13,CF : because actually sometimes taking out credit can also help you not be dependent.,SR :  And the interest has to be paid back as well as the debt.,sometimes taking out credit can also help you not be dependent.,the interest has to be paid back as well as the debt.,CA,nodeset6124,26860,26870,113368,True,CF,SR,SR
14,CF :  Is that not true?,SR :  And the interest has to be paid back as well as the debt.,sometimes taking out credit can also help you not be dependent.,the interest has to be paid back as well as the debt.,CA,nodeset6124,26860,26870,113368,True,CF,SR,SR
15,SR : saving is morally good and can lead you to not be dependent,CF : because actually sometimes taking out credit can also help you not be dependent.,saving is morally good and can lead you to not be dependent,sometimes taking out credit can also help you not be dependent.,Default Conflict,nodeset6124,113382,26860,113388,False,SR,CF,CF
16,SR : saving is morally good and can lead you to not be dependent,CF :  Is that not true?,saving is morally good and can lead you to not be dependent,sometimes taking out credit can also help you not be dependent.,Default Conflict,nodeset6124,113382,26860,113388,False,SR,CF,CF
17,"SR : Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.",SR : And certainly all debt is not immoral.,"the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.",all debt is not immoral.,Default Rephrase,nodeset6124,113365,26877,113390,False,SR,SR,SR
18,SR : And certainly all debt is not immoral.,SR :  I would never dream of saying that,all debt is not immoral.,SR would never dream of saying that,Default Rephrase,nodeset6124,26877,113371,113392,False,SR,SR,SR
19,SR :  I would never dream of saying that,"SR : And certainly, as you pointed out before, much debt is incredibly valuable.",SR would never dream of saying that,much debt is incredibly valuable.,Default Inference,nodeset6124,113371,26883,113394,False,SR,SR,SR
20,"SR : And debt that actually goes to something that’s productive, and actually helps, is to be encouraged. ","SR : And certainly, as you pointed out before, much debt is incredibly valuable.","debt that actually goes to something that’s productive, and actually helps, is to be encouraged. ",much debt is incredibly valuable.,Default Inference,nodeset6124,26884,26883,113396,False,SR,SR,SR
21,"CF : Yes. So, in that sense then, it’s quite morally neutral. This is the point I'm making.","CF : Because say for example, I don’t know, a young person decides to take out a mortgage, which is taking out a massive debt, so that they don’t have to be dependent on their parents, or don’t have to be maybe dependent on a council house. It’s a sign of independence.",it’s (to get in debt) quite morally neutral.,"a young person decides to take out a mortgage, which is taking out a massive debt, so that they don’t have to be dependent on their parents, or don’t have to be maybe dependent on a council house. It’s a sign of independence.",RA,nodeset6126,26889,26890,113411,False,CF,CF,CF
22,"CF : Yes. So, in that sense then, it’s quite morally neutral. This is the point I'm making.","SR :  But the problems we have, that were discussed in the introduction, is when debt gets out of control.",it’s (to get in debt) quite morally neutral.,the problems we have is when debt gets out of control.,Default Rephrase,nodeset6126,26889,26897,113417,False,CF,SR,SR
