,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker,Text,same_speakers,different_speakers,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words
0,0,0,0,Why do savers need saving?,"Well, as we just heard, because the system seems to be very, very heavily weighted against them.",savers need saving because xxx,"the system seems to be very, very heavily weighted against them.",MA,nodeset6122,113276,26821,113280,False,MB,SR,SR,"Well, as we just heard, because the system seems to be very, very heavily weighted against them.,Why do savers need saving?",False,True,"['well', 'as', 'we', 'just', 'hear', 'because', 'the', 'system', 'seem', 'to', 'be', 'very', 'very', 'heavily', 'weight', 'against', 'they', 'why', 'do', 'saver', 'need', 'save']",22,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,"Well, as we just heard, because the system seems to be very, very heavily weighted against them.","A lot of savers have spent much of their life putting money by, in the hope that they can provide for themselves in their old age.","the system seems to be very, very heavily weighted against them.","A lot of savers have spent much of their life putting money by, in the hope that they can provide for themselves in their old age.",RA,nodeset6122,26821,26822,113285,True,SR,SR,SR,"A lot of savers have spent much of their life putting money by, in the hope that they can provide for themselves in their old age.,Well, as we just heard, because the system seems to be very, very heavily weighted against them.",True,False,"['a', 'lot', 'of', 'saver', 'have', 'spend', 'much', 'of', 'their', 'life', 'put', 'money', 'by', 'in', 'the', 'hope', 'that', 'they', 'can', 'provide', 'for', 'themselves', 'in', 'their', 'old', 'age', 'well', 'as', 'we', 'just', 'hear', 'because', 'the', 'system', 'seem', 'to', 'be', 'very', 'very', 'heavily', 'weight', 'against', 'they']",43,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,"Well, as we just heard, because the system seems to be very, very heavily weighted against them.","And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them","the system seems to be very, very heavily weighted against them.","And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them",RA,nodeset6122,26821,26823,113285,True,SR,SR,SR,"And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them,Well, as we just heard, because the system seems to be very, very heavily weighted against them.",True,False,"['and', 'the', 'problem', 'be', 'as', 'we', 'have', 'thing', 'at', 'the', 'moment', 'with', 'inflation', 'so', 'high', 'and', 'interest', 'rate', 'at', 'rock', 'bottom', 'saver', 'be', 'see', 'their', 'money', 'take', 'away', 'from', 'they', 'well', 'as', 'we', 'just', 'hear', 'because', 'the', 'system', 'seem', 'to', 'be', 'very', 'very', 'heavily', 'weight', 'against', 'they']",47,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,We reckon something like 100 billion pounds has been transferred from savers to borrowers.,"And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them",We reckon something like 100 billion pounds has been transferred from savers to borrowers.,"And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them",RA,nodeset6122,26824,26823,113296,False,SR,SR,SR,"And the problem is, as we have things at the moment, with inflation so high and interest rates at rock bottom, savers are seeing their money taken away from them,We reckon something like 100 billion pounds has been transferred from savers to borrowers.",True,False,"['and', 'the', 'problem', 'be', 'as', 'we', 'have', 'thing', 'at', 'the', 'moment', 'with', 'inflation', 'so', 'high', 'and', 'interest', 'rate', 'at', 'rock', 'bottom', 'saver', 'be', 'see', 'their', 'money', 'take', 'away', 'from', 'they', 'we', 'reckon', 'something', 'like', 'billion', 'pound', 'have', 'be', 'transfer', 'from', 'saver', 'to', 'borrower']",43,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,"And is this, in your view, purely an economic issue, or do you think there’s a moral dimension to it?",Oh no,"this is in SR's view, purely an economic issue / SR thinks there’s a moral dimension to it",this is not purely an economic issue,MA,nodeset6122,113289,113298,113303,False,MB,SR,SR,"Oh no,And is this, in your view, purely an economic issue, or do you think there’s a moral dimension to it?",False,True,"['oh', 'no', 'and', 'be', 'this', 'in', 'your', 'view', 'purely', 'an', 'economic', 'issue', 'or', 'do', 'you', 'think', 'there', '’', 'a', 'moral', 'dimension', 'to', 'it']",23,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,5,Oh no,there’s a massive moral issue as well,this is not purely an economic issue,there’s a massive moral issue as well,RA,nodeset6122,113298,113305,113310,False,SR,SR,SR,"there’s a massive moral issue as well,Oh no",True,False,"['there', '’', 'a', 'massive', 'moral', 'issue', 'as', 'well', 'oh', 'no']",10,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,6,6,"I mean, when did it all change?","It used to be, when I was younger, I'm sure, when my parents and grandparents were around, that saving was the moral thing to do",it all changed when xxx,"It used to be, when SR was younger, when his parents and grandparents were around, that saving was the moral thing to do",MA,nodeset6122,113293,113313,113318,True,SR,SR,SR,"It used to be, when I was younger, I'm sure, when my parents and grandparents were around, that saving was the moral thing to do,I mean, when did it all change?",True,False,"['it', 'use', 'to', 'be', 'when', 'I', 'be', 'young', 'I', 'm', 'sure', 'when', 'my', 'parent', 'and', 'grandparent', 'be', 'around', 'that', 'saving', 'be', 'the', 'moral', 'thing', 'to', 'do', 'I', 'mean', 'when', 'do', 'it', 'all', 'change']",33,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,"It used to be, when I was younger, I'm sure, when my parents and grandparents were around, that saving was the moral thing to do",You wanted to provide for yourself,"It used to be, when SR was younger, when his parents and grandparents were around, that saving was the moral thing to do",You wanted to provide for yourself,RA,nodeset6122,113313,113320,113325,False,SR,SR,SR,"You wanted to provide for yourself,It used to be, when I was younger, I'm sure, when my parents and grandparents were around, that saving was the moral thing to do",True,False,"['you', 'want', 'to', 'provide', 'for', 'yourself', 'it', 'use', 'to', 'be', 'when', 'I', 'be', 'young', 'I', 'm', 'sure', 'when', 'my', 'parent', 'and', 'grandparent', 'be', 'around', 'that', 'saving', 'be', 'the', 'moral', 'thing', 'to', 'do']",32,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,You wanted to provide for yourself,You didn’t want to be a burden on the state,You wanted to provide for yourself,You didn’t want to be a burden on the state,RA,nodeset6122,113320,113327,113332,False,SR,SR,SR,"You didn’t want to be a burden on the state,You wanted to provide for yourself",True,False,"['you', 'do', 'not', 'want', 'to', 'be', 'a', 'burden', 'on', 'the', 'state', 'you', 'want', 'to', 'provide', 'for', 'yourself']",17,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,"I mean, when did it all change?","Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",it all changed when xxx,"Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",MA,nodeset6122,113293,113334,113318,True,SR,SR,SR,"Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do,I mean, when did it all change?",True,False,"['somehow', 'there', 'be', 'an', 'extraordinary', 'sea', 'change', 'in', 'which', 'acquire', 'debt', 'not', 'only', 'lose', 'the', 'stigma', 'that', 'it', 'have', 'before', 'but', 'become', 'actually', 'the', 'thing', 'to', 'do', 'I', 'mean', 'when', 'do', 'it', 'all', 'change']",34,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
