,Text,illocution,id_illocution,nodeset_id,CA,RA,CA_premise,RA_premise,CA_conclusion,RA_conclusion,speaker,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words,final output,final input,RA final input,RA final output,CA final input,CA final output
0,SR : 	Oh no,this is not purely an economic issue,113298,nodeset6122,0,1,0,1,0,0,SR,"['sr', 'oh', 'no']",3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,JL : 	No,JL's not financing lifestyles that people can't afford,113706,nodeset6140,0,1,0,1,1,0,JL,"['jl', 'no']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,ND : I don’t think it is,the reason that so many people have defaulted on their mortgages is not the result of tens of thousands of random decisions by individuals,113881,nodeset6146,0,1,0,1,1,0,ND,"['nd', 'I', 'do', 'not', 'think', 'it', 'be']",7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,"JW : Well, thrift and prudence are virtues",thrift and prudence are not virtues,114388,nodeset6158,0,1,0,1,1,0,JW,"['jw', 'well', 'thrift', 'and', 'prudence', 'be', 'virtue']",7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,"JL : Oh, I don’t think that’s true at all",this activity is not taking advantage of people in a moment of great weakness,30742,nodeset6217,0,1,0,1,1,0,JL,"['jl', 'oh', 'I', 'do', 'not', 'think', 'that', '’', 'true', 'at', 'all']",11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,"MT : Yes, and I think I completely disagree",they're not absolutely right,115488,nodeset6227,0,1,0,1,1,0,MT,"['mt', 'yes', 'and', 'I', 'think', 'I', 'completely', 'disagree']",8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,MP : You said the stigma’s disappeared,SR : the stigma’s disappeared,30184,nodeset6139,0,1,0,0,0,1,MP,"['mp', 'you', 'say', 'the', 'stigma', '’', 's', 'disappear']",8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
7,"JL : 	Well, I don’t really agree with that at all",the history of the financial services industry does not demonstrate that this is an industry with a deep commitment to exploiting those weaknesses,30850,nodeset6143,1,0,0,0,1,0,JL,"['jl', 'well', 'I', 'do', 'not', 'really', 'agree', 'with', 'that', 'at', 'all']",11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
8,CF : 	No,he didn't half did,32064,nodeset6149,1,0,0,0,1,0,CF,"['cf', 'no']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
9,CF : 	“I am not here to demonise debt.”,First witness : “I am not here to demonise debt.”,114002,nodeset6149,0,1,0,0,0,1,CF,"['cf', 'I', 'be', 'not', 'here', 'to', 'demonise', 'debt']",8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
