,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
0,AM : so Mr Cameron was perfectly within his rights to raise that,AM :  I would suggest that that is neither a moral nor a practical way forward,Mr Cameron was perfectly within his rights to raise that,that is neither a moral nor a practical way forward,RA,nodeset6230,27361,27358,115607,False,AM,AM,AM
1,AM : but it does need reform,AM : and it needs thoughtful reform to avoid the tendency that it has to trap people in dependency as a way of life,it does need reform,it needs thoughtful reform to avoid the tendency that it has to trap people in dependency as a way of life,Default Inference,nodeset6230,27350,27355,115612,True,AM,AM,AM
2,AM : but it does need reform,AM :  I would suggest that that is neither a moral nor a practical way forward,it does need reform,that is neither a moral nor a practical way forward,Default Inference,nodeset6230,27350,27358,115612,True,AM,AM,AM
3,KM : and in that I think politicians are not taking a moral stance over welfare reform,KM : I think the current debate is about deflecting debate from those failures onto the supposed moral fecklessness of individuals,politicians are not taking a moral stance over welfare reform,the current debate is about deflecting debate from those failures onto the supposed moral fecklessness of individuals,RA,nodeset6231,27259,27254,115618,True,KM,KM,KM
4,KM : and in that I think politicians are not taking a moral stance over welfare reform,KM : they’re simply moralising,politicians are not taking a moral stance over welfare reform,they’re simply moralising,RA,nodeset6231,27259,27264,115618,True,KM,KM,KM
5,"CF : But I think that the problem for me is that welfarism has gone far beyond a safety net, or anything compassionate,",CF : and has become an all consuming be all and end all for a significant minority of society,"the problem is that welfarism has gone far beyond a safety net, or anything compassionate",welfarism has become an all consuming be all and end all for a significant minority of society,RA,nodeset6231,115625,27277,115629,False,CF,CF,CF
6,"CF : And so consequently, we actually encourage people to become dependent on the state",CF : and has become an all consuming be all and end all for a significant minority of society,we actually encourage people to become dependent on the state,welfarism has become an all consuming be all and end all for a significant minority of society,RA,nodeset6231,27282,27277,115632,False,CF,CF,CF
7,CF : I’m not interested in Cameron making cuts,CF : but I am interested in the demoralising impact of welfarism ,CF is not interested in Cameron making cuts,CF is interested in the demoralising impact of welfarism ,RA,nodeset6231,27290,27293,115638,False,CF,CF,CF
8,"MB : Is the welfare state, as it is, in your view a safety net or a trap?",JB : It is a safety net,"the welfare state, as it is, is a safety net / is a trap",It is a safety net,Default Rephrase,nodeset6232,115646,27394,115655,True,MB,JB,JB
9,"MB : Is the welfare state, as it is, in your view a safety net or a trap?",JB : but it is also very much a trap,"the welfare state, as it is, is a safety net / is a trap",it is also very much a trap,Default Rephrase,nodeset6232,115646,27398,115655,True,MB,JB,JB
10,JB : but it is also very much a trap,JB : I liken it to a mouse trap which has a rather stale piece of cheese in it,it is also very much a trap,JB likens it to a mouse trap which has a rather stale piece of cheese in it,Default Inference,nodeset6232,27398,27401,115658,False,JB,JB,JB
11,JB : I liken it to a mouse trap which has a rather stale piece of cheese in it,JB : it’s not particularly attractive,JB likens it to a mouse trap which has a rather stale piece of cheese in it,it’s not particularly attractive,Default Inference,nodeset6232,27401,27404,115661,True,JB,JB,JB
12,JB : I liken it to a mouse trap which has a rather stale piece of cheese in it,"JB : but the mouse going by is peckish and goes into the trap, nibbles the stale piece of cheese, and the trap clunks behind him",JB likens it to a mouse trap which has a rather stale piece of cheese in it,"the mouse going by is peckish and goes into the trap, nibbles the stale piece of cheese, and the trap clunks behind him",Default Inference,nodeset6232,27401,27407,115661,True,JB,JB,JB
13,JB : I liken it to a mouse trap which has a rather stale piece of cheese in it,JB : That’s how I regard it,JB likens it to a mouse trap which has a rather stale piece of cheese in it,That’s how JB regards it,Default Rephrase,nodeset6232,27401,27410,115664,False,JB,JB,JB
14,JB : I didn’t refer to utopia,JB : I don’t believe that there is a utopia,JB didn’t refer to utopia,there is a no utopia,Default Inference,nodeset6233,27480,27483,115681,False,JB,JB,JB
15,JB : I don’t believe that there is a utopia,"JB : In fact I believe that people like you who believe as a utopia, are precisely the ones who have led to bad policies and bad results.",there is a no utopia,"people like KM who believe as a utopia, are precisely the ones who have led to bad policies and bad results.",Default Inference,nodeset6233,27483,27488,115684,False,JB,JB,JB
