,Text,illocution,id_illocution,nodeset_id,CA,RA,CA_premise,RA_premise,CA_conclusion,RA_conclusion,speaker,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words,final output,final input,RA final input,RA final output,CA final input,CA final output
0,RS : No,it's not only the right to a job that RS'd accept,116077,nodeset6247,0,1,0,1,1,0,RS,"['rs', 'no']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,"JB : Ah, but my position, being realistic, is that we’re not going to get rid of the welfare state","JB didn't say he wants to get rid of the welfare state, the welfare system",116217,nodeset6250,0,1,0,1,0,0,JB,"['jb', 'ah', 'but', 'my', 'position', 'be', 'realistic', 'be', 'that', 'we', '’', 're', 'not', 'go', 'to', 'get', 'rid', 'of', 'the', 'welfare', 'state']",21,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
2,Clifford : there seemed to me to be a germ of a compassion about what he was saying,there seemed to be a germ of compassion about what Neil was saying,43345,nodeset6256,0,1,0,1,0,0,Clifford,"['clifford', 'there', 'seem', 'to', 'I', 'to', 'be', 'a', 'germ', 'of', 'a', 'compassion', 'about', 'what', 'he', 'be', 'say']",17,compassion,,,,,,,,,germ,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
3,Claire: Yes,Claire has an answer to Neil's complaint that the market in housing has seriously distorted the housing benefit,43402,nodeset6258,0,1,0,1,1,0,Claire,"['claire', 'yes']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,"CL : No, it doesn’t",that majority doesn't include CL,27309,nodeset6262,0,1,0,1,1,0,CL,"['cl', 'no', 'it', 'do', 'not']",5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,"Neil : If you took the people around this table this evening, and you took away all of our contacts, our qualifications our great jobs and so on, we’d still have more internal resources than that guy","If you took the people around this table this evening, and you took away all of our contacts, our qualifications our great jobs and so on, we’d still have more internal resources than that guy",42559,nodeset6273,0,0,0,0,0,1,Neil,"['neil', 'if', 'you', 'take', 'the', 'people', 'around', 'this', 'table', 'this', 'evening', 'and', 'you', 'take', 'away', 'all', 'of', 'our', 'contact', 'our', 'qualification', 'our', 'great', 'job', 'and', 'so', 'on', 'we', '’', 'd', 'still', 'have', 'more', 'internal', 'resource', 'than', 'that', 'guy']",38,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Neil : 	No,there has not been a transfer,42591,nodeset6273,0,1,0,1,1,0,Neil,"['neil', 'no']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Owen : No I don’t,"the sense of individual self-reliance, and standing on your own two feet and doing everything to avoid taking money from the state has not been chipped away at by the growth of welfarism",42950,nodeset6278,0,1,0,1,1,0,Owen,"['owen', 'no', 'I', 'do', 'not']",5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Anne : 	No you haven’t,Owen hasn't answered Anne's question,43182,nodeset6281,0,1,0,1,1,0,Anne,"['anne', 'no', 'you', 'have', 'not']",5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,Owen : 	No,Housing benefit has not a debilitating ?effect,43147,nodeset6281,0,1,0,1,1,0,Owen,"['owen', 'no']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,Kenan : 	No,that is a moral position to take,117587,nodeset6284,0,1,0,1,1,0,Kenan,"['kenan', 'no']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,JB :	 Yes,JB would want to abolish the welfare state altogether,115706,nodeset6235,0,0,0,0,0,0,JB,"['jb', 'yes']",2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,JB : I’m not sure it is,it is not,116025,nodeset6244,1,0,0,0,1,0,JB,"['jb', 'I', '’', 'm', 'not', 'sure', 'it', 'be']",8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
13,RS : It creates a dependency on work,‘welfare to work’creates a dependency on work,34931,nodeset6247,0,1,0,0,0,1,RS,"['rs', 'it', 'create', 'a', 'dependency', 'on', 'work']",7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
14,"JB : You asked me, in an ideal world where politics was not a factor",KM : in an ideal world where politics was not a factor,116166,nodeset6250,0,1,0,0,0,1,JB,"['jb', 'you', 'ask', 'I', 'in', 'an', 'ideal', 'world', 'where', 'politic', 'be', 'not', 'a', 'factor']",14,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
15,Michael : One of which was that everybody could get out of unemployment if the government didn’t get in the way,James : everybody could get out of unemployment if the government didn’t get in the way,43330,nodeset6256,0,1,0,0,0,1,Michael,"['michael', 'one', 'of', 'which', 'be', 'that', 'everybody', 'could', 'get', 'out', 'of', 'unemployment', 'if', 'the', 'government', 'do', 'not', 'get', 'in', 'the', 'way']",21,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
16,"Clifford : They do reocgnise that there are serious issues, serious problems that need to be addressed","James and Neil : there are serious issues, serious problems that need to be addressed",116348,nodeset6256,0,1,0,0,0,1,Clifford,"['clifford', 'they', 'do', 'reocgnise', 'that', 'there', 'be', 'serious', 'issue', 'serious', 'problem', 'that', 'need', 'to', 'be', 'address']",16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
17,"Clifford : the way in which people find themselves parked, as it were, not participating in society is a serious moral issues, and can’t be denied","James and Neil : the way in which people find themselves parked, as it were, not participating in society is a serious moral issues, and can’t be denied",116358,nodeset6256,0,1,0,0,0,1,Clifford,"['clifford', 'the', 'way', 'in', 'which', 'people', 'find', 'themselves', 'park', 'as', 'it', 'be', 'not', 'participate', 'in', 'society', 'be', 'a', 'serious', 'moral', 'issue', 'and', 'can', 'not', 'be', 'deny']",26,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
